id_entrance;name;id_station;direction;lat;lon;max_width;min_step;min_step_ramp;lift;lift_minus_step;min_rail_width;max_rail_width;max_angle
18630;Выход со станции Пролетарская на 1-ю Дубровскую улицу;115;both;55.73132245;37.66501164;720;22;4;0;0;300;870;20
18640;К области, на Абельмановскую;115;both;55.73244426;37.66796565;720;37;37;0;0;0;0;0
18650;К области, на 1-ю Дубровскую улицу;115;both;55.7318835477;37.6678189177;720;36;11;0;0;300;870;20
18660;К области, к Волгоградскому проспекту;115;both;55.73222956;37.66837582;720;37;11;0;0;300;870;20
18670;ктр "Звездный, гостиница "Комета", проспект Вернадского (в сторону области);18;both;55.6765260271;37.5045412413;720;52;52;0;0;0;0;0
18680;ктр "Звездный, гостиница "Комета", проспект Вернадского (в сторону области);18;both;55.6766655548;37.5047982661;720;52;52;0;0;0;0;0
18690;ктр "Звездный, гостиница "Комета", проспект Вернадского (в сторону области);18;both;55.6763595729;37.5053245549;720;52;24;0;0;330;775;22
18700;ктр "Звездный, гостиница "Комета", проспект Вернадского (в сторону области);18;both;55.6762127016;37.5050724259;720;52;52;0;0;0;0;22
18710;проспект Вернадского (в сторону центра);18;both;55.6759997382;37.5054396041;720;52;52;0;0;0;0;22
18720;проспект Вернадского (в сторону центра);18;both;55.6761441617;37.5056794939;720;52;24;0;0;320;775;22
18730;проспект Вернадского (в сторону области);18;both;55.6777952346;37.5076344028;720;36;36;0;0;0;0;0
18731;парк 50-летия Октября;18;both;55.6780669141;37.5071673046;720;49;36;0;0;0;0;18
18740;Выход с радиальной;93;both;55.78188586;37.6331997;700;7;7;0;0;0;0;0
18750;Выход с кольцевой;69;both;55.77964333;37.63364691;750;0;0;0;0;0;0;0
18760;ул.Архитектора Власова;102;in;55.6772773575;37.5619198851;540;48;0;0;0;300;780;17
18761;ул.Архитектора Власова;102;out;55.6772773575;37.5619198851;750;48;0;0;0;300;780;17
18762;ул.Архитектора Власова;102;in;55.6771041718;37.5617385813;540;51;27;0;0;300;710;10
18763;ул.Архитектора Власова;102;out;55.6771041718;37.5617385813;750;51;27;0;0;300;710;10
18770;ИНИОН;102;in;55.6770906417;37.5624583841;540;51;27;0;0;300;770;10
18771;ИНИОН;102;out;55.6770906417;37.5624583841;750;51;27;0;0;300;770;10
18772;ИНИОН;102;in;55.676909338;37.5622716684;540;47;0;0;0;300;780;22
18773;ИНИОН;102;out;55.676909338;37.5622716684;750;47;0;0;0;300;780;22
18780;ул.Ивана Бабушкина;102;both;55.6788901487;37.5636355052;760;52;28;0;0;300;770;10
18781;ул.Ивана Бабушкина;102;both;55.6787061389;37.5634433774;760;48;0;0;0;300;770;22
18790;Инстит океанологии РАН им.ПП.Ширшова;102;both;55.6786817847;37.5641875344;760;56;0;0;0;300;770;20
18791;Инстит океанологии РАН им.ПП.Ширшова;102;both;55.6785167172;37.5640251729;760;48;24;0;0;300;770;0
18800;На Тверскую, восточную сторону, в направлении области;119;in;55.765699977;37.6041261385;790;46;14;0;0;320;750;20
18800;На Тверскую, восточную сторону, в направлении области;119;out;55.765699977;37.6041261385;550;46;14;0;0;320;750;20
18810;На Пушкинскую площадь, южную сторону, выход из длинного перехода;119;in;55.7648699982;37.6063946094;790;35;35;0;0;0;0;0
18811;На Пушкинскую площадь, южную сторону, выход из длинного перехода;119;out;55.7648699982;37.6063946094;550;35;35;0;0;0;0;0
18812;На Тверскую, восточную сторону, в направлении центра;119;in;55.7647478816;37.6060696551;790;40;40;0;0;0;0;0
18813;На Тверскую, восточную сторону, в направлении центра;119;out;55.7647478816;37.6060696551;550;40;40;0;0;0;0;0
18830;К памятнику Пушкину, северный вход в сквере;119;in;55.76528854;37.60503414;790;39;14;0;0;320;750;20
18831;К памятнику Пушкину, северный вход в сквере;119;out;55.76528854;37.60503414;550;39;14;0;0;320;750;20
18832;К памятнику Пушкину, южный вход в сквере;119;in;55.7650831848;37.6054280256;790;51;51;0;0;0;0;0
18833;К памятнику Пушкину, южный вход в сквере;119;out;55.7650831848;37.6054280256;550;51;51;0;0;0;0;0
18840;Митинская ул. (восток);212;both;55.8544891739;37.3543182246;800;74;29;1;29;400;900;5
18850;Митинская ул. (восток);212;both;55.8549780472;37.3546682821;800;67;29;1;29;400;900;5
18860;Митинская ул. (запад);212;both;55.8552617145;37.3529662785;800;70;63;1;63;400;900;5
18861;Митинская ул. (запад);212;both;55.8548694087;37.3527791788;800;73;29;1;29;400;900;5
18870;Журавская ул., Пятницкое шоссе;212;in;55.857135954;37.3551357166;800;0;0;0;0;0;0;0
18871;Журавская ул., Пятницкое шоссе;212;out;55.8571752765;37.3550472409;850;0;0;0;0;0;0;0
18880;В область;41;in;55.8557081836;37.4756698337;720;43;0;0;0;0;0;0
18881;В область;41;out;55.8557288814;37.4758395551;550;0;0;0;0;0;0;0
18890;В центр;41;in;55.85425309;37.47662482;720;44;0;0;0;0;0;0
18891;В центр;41;out;55.8542924591;37.4768206274;550;0;0;0;0;0;0;0
18900;К центру;92;both;55.7924932334;37.6362038899;800;0;0;0;0;0;0;0
18910;Улица Сергия Радонежского к центру, южная сторона;152;both;55.74646421;37.67912107;720;32;0;0;0;480;680;19
18911;Улица Сергия Радонежского к центру, южная сторона;83;both;55.74646421;37.67912107;720;29;10;0;0;399;680;17
18912;Улица Сергия Радонежского к центру, северная сторона;152;both;55.7469515;37.6801577;720;28;0;0;0;480;870;19
18913;Улица Сергия Радонежского к центру, северная сторона;83;both;55.7469515;37.6801577;720;24;10;0;0;480;870;19
18920;К троллейбусам в область, на Рабочую улицу;152;both;55.74649074;37.68126758;720;32;0;0;0;480;870;19
18921;К троллейбусам в область, на Рабочую улицу;83;both;55.74649074;37.68126758;720;29;10;0;0;480;870;19
18930;Южный вестибюль(из центра);111;out;55.7162059013;37.7929157332;540;4;0;0;0;360;770;22
18931;Южный вестибюль (в центр);111;in;55.7162492293;37.7927032197;540;44;40;0;0;300;765;22
18940;Северный вестибюль (в центр);111;out;55.7176439777;37.7938998973;540;3;3;0;0;0;0;0
18941;Северный вестибюль (в центр);111;in;55.7176790528;37.7937203957;520;45;45;0;0;0;0;0
18950;Выход с пригородных поездов;136;out;55.7942088588;37.588839327;550;36;4;0;0;460;840;20
18951;Выход с пригородных поездов;136;in;55.7942088588;37.588839327;740;36;1;0;0;460;840;20
18952;На проход между путями к Складочной улице;136;out;55.7940087553;37.5897804386;550;42;42;0;0;0;0;0
